FMCG_CID,CurrentBalance,YearInflow,ManualTransactions,onlineTransactions,TotalTransactions,NoOfclosedAccounts,NewAccountsOpened,No.ofchequeBounces,No.of failedtransactions,YearOutflow,OverallPerspective
189808,95854076,97733129161,755421,111432349,112184831,365,8010,5062,5912678,63287820918,2
123892,53876216,49663631064,471985,796911003,797382716,106,6760,914,2488232,27193431285,1
182729,52805215,49183546579,547139,634205623,634752561,938,9103,8452,6331337,2184206217,0
204996,64547183,18414907614,767079,862549563,863314399,473,1542,4510,1549797,13764422144,0
119749,77891841,96159707686,695703,436067723,436759514,1071,2378,5174,5494217,31907454550,1
186323,17621055,37758564313,419765,928540527,928958815,928,7531,6483,9611462,77894969171,1
176688,12405917,38363693872,322912,376873244,377192514,84,6047,5197,1224165,24068191718,0
111493,54569916,99811628927,124384,590645893,590768449,638,1974,9726,2110927,32671283520,1
173155,27427698,50785633925,826136,44679582,45502852,222,7648,2575,3024880,98508861085,2
122601,67304263,5395012829,32905,547511521,547541407,418,4283,9574,4353360,96198282699,1
137537,3525608,99658104995,840573,790839529,791677798,259,7055,7179,2255760,62113449219,2
115805,17579858,11032190237,842541,774365716,775206684,322,10047,1498,7488674,85935172301,1
188722,74248982,87720824694,281288,323117741,323397683,186,1254,8506,9773987,3687079248,1
151939,59342258,5152097694,524074,253183438,253706430,230,4235,3843,1368624,20217468496,0
198929,13912648,19270796154,782848,990548823,991331055,839,6118,558,6056070,59660981360,1
129772,27674857,16672603573,148899,28908803,29054240,992,10000,6617,2096714,32366234148,0
185853,72248719,96916271499,359182,551428129,551783629,693,8295,6525,8053964,36483000734,1
211727,93355858,26369285168,822962,821648315,822469389,758,4264,7268,3805482,93086393776,1
183221,56066956,15763794303,448422,426639729,427084476,327,9872,1593,1914758,21397934422,0
199015,73699793,84896260227,280054,66135186,66414408,263,2459,9911,6960288,92075068031,2
202336,8807058,40684449563,344934,454941647,455285580,1044,9067,2466,8994016,83780131661,1
192163,39789464,71688208331,495280,179090748,179583611,308,8790,1305,9188277,87667330746,2
129789,81354744,77181045378,722522,451925328,452644380,767,4385,9045,5223168,59486160395,2
150799,9518246,17393149063,570159,430810346,431378199,397,8732,1457,267284,85312464958,1
193299,58280968,51260987287,530165,80720748,81249696,312,3210,73,9767097,5496726617,0
166886,49558047,88678500254,865146,323977376,324840023,223,4892,2063,4791521,52651672855,2
129629,26304916,38903485270,85215,457289459,457374547,354,5097,5601,9309982,39273473914,1
202577,79561268,31719388004,424480,623867896,624289450,1061,8781,8230,7173530,35581763521,0
148395,29572699,46943085872,875546,822240113,823114307,52,5180,5325,4801709,40394214695,1
154782,8265265,48232794530,754644,596328452,597083067,814,3311,8166,3776303,15360876388,0
189882,64194051,99842612567,735660,613826350,614561692,928,1688,1643,9757672,34382785622,1
198739,64795887,2672071615,154882,673200366,673352313,1021,2359,3498,4970116,82411654000,1
188883,96005905,46957087386,280580,931910407,932188693,679,8901,4396,8174393,76023733622,1
114894,77851231,37533625036,640105,846063860,846702098,112,1585,1476,2392057,19430253466,0
145740,76429708,50661004705,302441,834052722,834353876,417,2862,3045,7354905,37150047261,1
140324,52192344,73576062244,984615,208313812,209296853,941,1192,1017,9128522,93541411261,2
118368,88543777,62051832784,414321,935312027,935725417,197,8451,295,8438347,55258675600,1
208173,91406924,42497877572,796440,926783169,927577473,705,3283,1358,8498437,35626922034,1
179330,7014711,30228237778,427292,143204599,143628816,578,8603,4442,7144805,77939942886,1
111793,66790412,79706757517,477762,410798653,411273895,880,2420,9431,7248087,5213159864,1
125439,31906585,47491146201,168513,215305581,215471864,699,4891,7808,5607923,93282620952,2
209721,15747997,83499670300,523584,442369815,442891334,1039,2011,4627,2581425,26103042662,1
149612,59073252,68181528220,362721,810005292,810366601,590,1257,10044,6977466,82223059610,2
175269,95768372,57422664535,745974,602096119,602839493,193,8242,6427,5437531,33564181656,1
130073,59867268,54894199326,972569,239425130,240395286,573,7641,9246,8119825,76908137806,1
195563,18300683,11363077719,273131,932039276,932312226,121,6448,7391,8479975,92938421886,1
171234,85538398,71899753347,482095,293031997,293511586,325,8039,1444,3825266,66866969637,2
175854,68525574,3024649164,145661,338556525,338701126,282,7232,8448,1420465,5246818651,0
133070,78435638,32810470678,266599,509879208,510143290,132,7753,5457,1091587,74312065303,1
202521,5120545,25253909462,82760,629348046,629428650,216,7055,638,4733591,53211206717,1
206955,21971194,74702725978,801360,661991871,662791920,119,6651,5952,1655144,43793552278,1
111853,94710506,72858844885,440884,50188652,50625973,263,2156,6071,786181,70509037373,2
160738,31372126,28283595928,733802,252662375,253396066,386,7552,1248,7098521,32227518127,0
159277,63770805,14428832344,521723,465900787,466420243,197,6561,4798,861911,50168177155,0
195033,21963353,21281051653,742438,428604314,429343177,671,7051,4954,918601,95654728638,1
184726,32346230,34786297879,121220,770903934,771023434,1047,7011,7070,1362250,49516523693,1
168529,86376168,89510277810,258547,662418382,662676025,688,8823,7410,4999294,17195331020,1
168298,49966857,75280521202,949606,211525808,212471619,461,6658,3843,9417007,72354541644,2
111598,43691789,16145631782,806635,985786275,986592780,924,10013,8141,5267247,36326339055,0
155451,1947716,92041524638,111505,920096765,920206581,115,7598,1073,4201339,19052742773,1
204544,80527402,41305320636,28554,97152635,97179616,824,6763,2768,7094814,4377216411,0
172372,36499571,11142775227,865337,45390013,46254362,82,5778,4564,6915444,92739342835,1
172035,56332254,92399338583,881989,280903538,281784283,789,5900,9839,3373617,70779113969,2
120469,83599944,56485972006,169792,583933069,584101758,516,2431,9874,7347649,6869844537,0
148939,45322403,73396612621,772265,644601846,645371230,908,9758,3998,3899175,77690052278,2
194200,71261493,58584228976,944026,296967736,297909787,488,9192,3762,2005955,7396406664,0
186528,84877786,28373587988,161832,313564394,313725653,599,2125,6579,6419489,43622020011,1
167225,12471069,4996185759,29660,426973393,426999100,76,4978,7970,7690838,79196591072,1
140085,5418700,51591424317,683911,701985914,702666198,725,4323,2181,2048665,41759629784,1
171905,12492538,68437444729,799165,430889771,431687329,241,3084,1059,5113457,44376823953,1
120424,69429791,95191281524,391549,702358794,702746749,981,3663,9651,4601188,85536043468,2
172289,25088695,86405762089,64266,980647561,980711416,235,1625,4409,1166210,91386028381,2
182606,97119282,19628247983,941176,866115895,867053468,529,7471,7267,3457235,7772612893,0
171878,77019397,14618265466,523509,487315309,487837086,366,8880,2669,5526836,6018134079,0
125538,28758851,70758740378,966639,983950638,984915169,292,9099,9611,9809702,96747600278,2
153112,8603430,8942019450,554013,941408605,941961836,517,4426,7653,7570010,42712060748,0
208459,43492823,41389593655,274079,734357780,734630503,292,1702,3780,6639864,61908048594,1
160251,7574182,44226928978,446509,48966092,49411858,154,4934,4703,2206735,1753772927,0
124610,27956759,11473445839,381161,120587051,120966624,86,6038,4961,3607551,26818840116,0
212920,75828832,97870164005,254914,317224315,317478612,945,1855,5699,8059825,79546631831,2
169947,93364445,62509856747,916596,192007527,192922213,223,2095,3524,4835329,73011918686,2
177748,44611189,3445874215,485831,292730091,293212315,549,8404,8536,3012621,44668028824,0
146592,89051362,50579627552,160879,125429425,125587256,538,3892,8321,5356310,64414175937,1
179072,16173455,54452865161,526900,771202779,771726374,729,9482,2718,4368120,19461650034,1
117748,52116918,35550816778,498325,657842301,658339158,1025,1365,216,9925940,27828043810,0
128658,71334420,4626742458,73782,872771168,872842905,903,2504,467,8266555,12424632088,0
129200,60179654,28207973250,631020,640293887,640922604,901,5235,8873,5429233,52694582723,1
136490,16607693,11891395991,485775,307244040,307726976,786,1467,8755,2385075,37923027565,0
194470,29035386,59638416416,944450,85953099,86896283,882,5365,3492,6523119,43615215263,1
191988,39292792,3472130176,723283,477223684,477946722,273,5018,6105,2921503,96570390328,1
183366,5190626,18779451626,991195,16997865,17987648,40,7754,1083,7900723,6272461316,0
143169,70786276,11254308198,556781,175751882,176305064,879,2386,4800,2638203,20426288097,0
114112,5300689,78305034621,308966,372637441,372946074,988,5779,6393,4815993,24397392141,1
137558,38509882,89412948991,753896,513360453,514111652,305,8900,8843,8758878,10090371423,1
190515,90907739,75949140915,372381,223150993,223521475,695,8790,7098,9062541,95896279808,2
177310,18632015,37762787881,217956,890626562,890844309,245,1922,7194,6415365,61712950171,1
175711,47957339,86963791691,992098,370005028,370996187,192,4741,1724,5500299,85523654423,2
212874,23049900,87866773634,818816,867833946,868649596,936,6160,179,1017357,11861243387,1
129394,68847669,25371942863,354996,611541851,611895620,636,2100,875,8015090,99996850841,1
137096,45202394,30583581306,954005,775443667,776397539,285,7009,5209,5108287,10154811774,0
207291,1558316,35130089714,287996,607553471,607840246,394,1192,2013,7793744,37778186716,1
134246,26463433,27323623340,850772,959582909,960432490,109,4397,8095,3858883,47868992218,1
213203,2374846,76475897478,353829,193074395,193425067,174,1724,3337,4384000,38316312519,1
111371,92199696,22916273037,516200,414824467,415336944,946,5023,3235,1794146,63979748831,1
163781,47757503,74827419922,682423,280450661,281129922,934,8094,7473,6195227,54348488776,1
117689,79455724,9172935253,883767,596351305,597231868,788,6327,1087,4957216,1281157510,0
180309,26259092,63216017277,240891,43506429,43746404,528,4267,5237,2150674,32568133476,1
114382,40642917,55023681773,567046,595035200,595599546,471,9630,1729,9793680,73228399107,1
155693,39258924,16924839840,268295,425972163,426236686,334,6826,529,9446961,10746636836,0
176680,75954047,30234637935,276524,102314208,102587616,415,8533,2447,4687552,52255949631,1
128845,50497453,96979362360,376273,500843566,501216481,695,9268,4567,6351535,34830596219,1
195741,36299957,42653252319,36450,680326530,680361102,850,8819,4516,6422963,26371298200,0
139428,77831231,73716795555,816548,666260995,667074894,996,9237,4770,1597855,71243648049,2
151378,84010994,3926954903,66435,604841042,604907113,254,1912,6074,4122404,6829500817,0
182203,57855641,30413353249,622133,859586203,860204390,546,9224,1686,8744824,74831584464,1
200942,68432576,48600523192,65735,584508376,584571130,362,1248,5631,2861615,23094204679,1
183329,36384367,39938039027,869763,432440884,433309971,1016,3540,5637,1820688,16506737478,0
143931,68647742,70014155888,167944,866215084,866382818,530,8147,3886,9521193,33007031237,1
204848,11610454,23233983939,35658,307549058,307580795,577,3721,2019,323150,41012615308,0
125780,88784269,13746713654,394218,914055240,914446982,310,7408,3629,7956251,82329764602,1
132832,27212069,67210866395,469384,97335146,97803490,612,6617,7592,1942741,85096129639,2
130470,1349319,88561259972,150782,467541124,467691759,747,2082,2575,7197023,63496964264,2
179862,47333791,61763136437,531572,100544876,101075775,697,3870,4325,2763802,11188039869,1
150670,31130889,40315031204,261124,749156497,749414638,81,8037,6899,4822037,53308992232,1
193281,38699246,75193622679,364031,138757444,139118816,24,1172,6867,1040032,90729126055,2
208741,15431480,13804147887,814307,904764270,905577816,58,5416,5189,4696213,75155232001,1
213233,94755054,34894145397,200260,79449329,79649299,540,9745,5812,7869623,9312723749,0
172107,63218121,72088754380,135601,57029404,57163056,581,8234,5686,5625716,28959098444,1
184544,33393445,61756961251,38388,57654054,57688450,870,5120,5982,6758926,47688471830,1
158703,32425183,99958664079,181494,93153433,93334051,990,4437,9939,1258217,11824944181,1
177204,88336266,64418783290,199544,23203339,23399252,726,4422,5724,5176433,82964385185,2
176158,26428959,94240217075,602817,556222560,556824831,437,9783,3312,8911275,68098699445,2
174296,54529192,99649799433,541574,975675196,976213766,664,8682,1747,9498532,14652658868,1
138400,75043074,85263650016,366805,773093224,773458428,583,4881,689,8577269,79822787617,2
183513,39051750,13543760159,588527,559499234,560085414,1024,7291,4540,448449,22546946894,0
155187,37415497,38527310128,562438,222060897,222622663,781,3697,2970,5470423,49167798452,1
181097,43153128,68326339484,975776,177238004,178211051,914,9389,1821,3301771,83589141526,2
123368,73087890,77835579954,679717,675062543,675738638,406,6749,6161,2879228,67546612009,2
164721,20065764,51108643835,814121,442302981,443116806,1089,5139,3963,6697518,97789514702,2
170860,30667404,42901747961,703490,126782306,127485248,582,1928,4684,6347624,87125592294,1
141266,8519006,53692613846,493596,512275577,512766399,811,4119,4106,6810109,16409881750,0
131649,41386852,21305451510,396574,641354034,641746789,701,5064,405,6307809,55885575224,1
123110,35535832,76661274670,797119,754936641,755731136,901,1388,4616,492673,95285427255,2
130246,39643761,13767672714,185698,15272525,15456872,873,4614,2736,4969793,43130699986,0
195015,84909542,86218974339,457449,526262996,526720267,828,5839,4016,5819388,46202206057,1
202620,90841939,89581355268,214115,637817467,638027662,151,3145,1735,1581559,50551748830,2
201579,7829774,56102152682,701333,696730462,697430079,791,8943,901,2072494,7897133963,0
197107,78429544,19177346345,526855,685375867,685902482,958,3635,286,5416859,51459410691,1
166392,28837735,23637335062,588768,284330894,284917159,383,2535,6754,4640133,29293602145,0
163460,62473872,75497693188,644815,662317075,662960787,892,6488,4195,7813354,52670580920,1
170985,32420100,5387630242,581617,161297085,161876742,263,7633,220,6278132,15339229509,0
189870,27347334,85123758265,218286,788169856,788385505,266,4328,7998,5761680,74932079591,2
165503,99404770,71876823184,655909,23942976,24597733,345,9008,6679,3374667,38131526464,1
123146,43474818,68493028228,445719,147667754,148111265,1035,3948,7794,3836665,11494562030,1
122577,47208992,68483243742,907366,300946688,301850201,899,3813,629,7773426,2234354711,0
167747,94926816,13073030313,604039,677675615,678277225,114,2122,7311,1380138,17290649795,0
188575,73840775,43092057542,697557,369350388,370047328,86,1379,7315,4161740,25927750770,0
184783,11635549,71762379747,25426,948807598,948829674,168,9822,1744,5163380,59458480103,1
211075,64443371,55374165180,498257,908513873,909009779,593,3652,5301,1499338,28288964458,1
144492,46616149,42253994783,938511,423246103,424183433,585,5387,3482,6268509,52422958684,1
170075,59613227,19967383933,114739,994271864,994386354,26,5043,9486,2486167,24658750253,0
204080,16283719,71916084547,231125,455954283,456185305,537,9708,3333,5107422,85968050001,2
139624,80218103,10304318130,430196,472363248,472792174,789,7059,117,9132737,13705626982,0
155756,60866640,23324171473,913978,640666208,641577448,684,4850,2771,7176298,2030816220,0
148752,92792011,17710706221,603447,366081219,366681668,142,2310,4622,7528833,95741102219,1
162910,11895410,21404305242,463400,342132792,342592857,679,5152,3971,2478376,95465915658,1
133816,45492830,27545390581,769899,799851087,800618052,408,4277,2843,9476501,6067755359,0
196339,96349983,42681638946,444719,214178656,214622560,386,3208,5580,4957267,56983023467,1
150057,98823097,48500947253,313690,736680810,736993004,133,5079,1243,6769292,53732296903,1
177050,17993783,40708168022,819703,311408910,312226684,935,8348,3582,3173307,33911043260,1
122008,56711061,28464269245,231705,448387825,448617492,773,4888,8313,4766449,87193166279,1
149020,36300734,89971535108,169844,979713161,979880976,207,7919,5464,2530839,89366470017,2
206780,37823162,2236574738,608503,947950503,948555885,191,5356,6604,6817430,46959385314,0
178864,59904669,1443484477,765149,785501880,786263483,189,3388,1705,9750217,14846565386,0
137722,91696361,71331396375,452650,207877727,208330102,422,1331,3253,8886003,18275438641,1
118734,73679541,87687630442,848019,942875623,943722937,356,5704,9031,6378077,23194958646,1
129766,16270093,25818061069,733593,501124313,501857360,932,8009,9303,848799,11703063419,0
181394,51439335,97770537754,573611,117643469,118214381,756,7486,1077,887655,63934741225,2
158658,42015846,50548571089,326190,711140221,711465101,976,9151,2974,6023271,19325474459,0
115772,99764659,40435576572,96601,620573724,620668399,886,8531,4267,8867226,32406278727,1
207574,85457408,68524666948,246566,879561065,879807092,460,4345,3566,8263311,36955626691,1
181276,11093896,57720581864,70585,610803425,610872905,193,1576,2873,2162724,63428093725,1
122254,76023544,48775213923,174792,124154588,124328388,191,1364,5063,8024216,98308046205,2
144815,78028495,42038124002,760300,413380760,414139961,538,2771,951,7426217,11620927674,0
123734,37755942,56597575271,774423,631149134,631922790,381,4931,8303,5602668,26127934877,1
127054,73250869,52298556661,1001785,69710429,70710012,111,3865,2897,5183309,68842069682,1
201361,64926885,99804039654,521935,925423701,925941752,977,9674,8261,5709264,50816173097,2
118971,27715932,78448299591,972354,898441945,899413826,602,3143,8197,2986070,49671014358,1
153026,92810669,7683692151,926974,593490303,594413389,608,1785,5988,8493908,91820686158,1
209208,86805348,60363302941,476085,972344687,972818131,661,1612,707,3138546,8297965418,0
155642,64669666,78931688478,367141,564980666,565345887,339,3764,7488,228998,70379577171,2
152390,80162566,43180370946,500101,693676070,694172851,894,7204,1959,9680121,62007447299,1
177614,51773237,92067025787,980774,971328398,972308772,402,7730,7704,7598954,62431223850,2
137041,40954343,26007009886,842522,813142386,813982608,296,1535,4882,3218895,2809368048,0
161781,86218634,40153303828,504060,598497278,598998603,561,2163,1474,7345153,57873049623,1
150879,64186077,36956826441,263998,196588948,196851219,63,2233,9156,2533031,90257312162,1
150834,32420027,91920004242,180376,171371774,171550864,452,2154,1155,248249,64317584131,2
162395,74646808,5575095631,724024,393729566,394451387,1012,7980,8798,5930187,52510245272,0
139233,75384172,14620220046,889305,910871818,911759391,168,9192,3360,7275889,70901819468,1
136944,49481378,65856490143,63467,360721503,360781094,336,7657,1679,6899875,12436139557,1
193275,49049609,93680073964,211490,979944555,980152356,926,1655,5285,1861739,65098381742,2
171073,93346060,69413435941,243693,247726513,247969900,898,1663,1740,3502198,13871730563,1
177149,31079528,74273554136,930776,163538218,164467471,628,9141,3229,6704913,96445438178,2
179144,42198778,90591329727,553032,612475414,613025913,800,7315,3945,2378635,39937472319,1
142250,43074306,15437532239,170169,777269097,777436146,908,2907,4920,4448120,64961725818,1
158556,72421494,21077322997,991095,439162828,440151968,506,3988,274,6208979,24766949914,0
175545,66939536,39405164073,866111,918274857,919140617,862,1177,7235,1853312,90627412857,1
124146,33312193,87858024818,196091,61657070,61850142,229,4513,621,1180471,13630936279,1
142375,90179547,15692050868,207556,767856340,768062071,196,3830,8793,7152267,98268372418,1
152597,19807246,41147708953,424676,239982716,240406931,791,4081,1039,9880813,12972074041,0
193472,75124276,21024891294,484353,399414347,399896568,823,8695,5553,5413894,98768602357,1
201810,88527193,43412343519,484317,840096813,840579252,404,1925,900,7878091,45592191044,1
111339,5254565,76520853305,344830,60134634,60476757,174,9260,4139,3124805,42802450600,1
115404,74113992,11226727111,233819,910984172,911216050,103,7697,2184,6140489,71631191213,1
186561,88151183,57688515980,83582,415449709,415529800,955,2360,4484,3876059,27563596990,1
164467,49366676,64199659360,440398,711529699,711967767,198,8683,7468,9086473,66469844959,1
121045,63870223,75235855638,640726,39575540,40215781,182,6178,6778,7906267,17224706203,1
117711,12833367,34191283291,886125,740268983,741155078,761,9679,2699,4285752,68437769354,1
115121,96332871,87033547833,34881,175614708,175647748,935,5405,5417,4588999,57097878581,2
210682,83191315,1384285520,433757,373236147,373668515,611,9909,2100,3641599,37634879808,0
113904,10064493,33115448724,290425,499766170,500055352,451,5874,6382,5947963,60802369131,1
198257,8232457,94192176602,984822,450017200,450999406,582,2963,8984,8918168,4603582123,1
149201,76640826,61892637191,77340,486283979,486359678,688,2258,7228,3120330,29050301591,1
137510,16575576,84952825949,955086,602880374,603832292,170,2291,5573,6650726,58801199542,2
190679,93640728,98068436255,409814,228991966,229400566,982,8142,8300,8070266,87663250022,2
137061,46791203,75321160946,442924,32560753,33001802,259,9303,9751,7148078,42609565803,1
210125,49385041,99376713572,859776,994093184,994951571,983,6656,3283,3071647,50831094920,2
183341,3576365,76864990062,561858,790355894,790914695,488,3842,4558,4846794,88086980970,2
191361,43248420,36326481444,589432,915029389,915618132,131,2058,146,5119405,36525934531,1
195052,86438247,95902534641,791849,74091278,74882569,66,8818,2836,6087904,20399189010,1
131758,20721470,71567447884,593371,701139194,701731965,661,2709,6992,8631644,62883101958,1
206447,54867615,50910832988,139003,634323646,634460794,801,6527,1539,1066679,76345769656,1
132033,98610494,5349478832,31563,57830268,57858046,371,4789,9862,6252324,28540009368,0
169594,3916441,47950550844,909284,783360021,784266137,866,3003,7146,6956620,76122122434,1
205310,79115321,6649601157,992193,555475994,556467973,797,7847,4454,5030314,37792263881,0
150687,91782430,76517468296,469292,685950793,686417759,540,4002,4650,2231776,73936168035,2
130097,56752109,60665775321,116490,685124610,685237261,804,6997,6075,7774345,24918493425,1
172561,4376780,34083440493,441555,420521187,420962601,774,6172,2686,1561098,3925553356,0
131405,64125747,36662613852,352598,524367885,524717975,882,8764,816,3998532,67987695281,1
113037,79871521,34866880434,48172,879830716,879877344,399,8477,1655,4125027,71569557622,1
172988,52530736,13719697959,986167,623511342,624494315,142,4772,4727,5209422,74843184114,1
111118,60064312,6982835987,25644,865051619,865073486,179,7895,115,3548355,47216424631,0
177394,66509694,40206256716,651262,461574005,462223169,688,8808,7943,4135029,17230357008,0
200815,40300039,10396422351,640399,345853702,346490986,214,3800,9877,8296901,14632083219,0
139976,84890056,99558524918,290589,144952142,145240285,212,2328,100,3496327,56180646982,2
158039,20529023,81444966079,177210,293959399,294133063,735,3391,6435,9738055,98590302825,2
210511,47073119,26172597153,278254,218417503,218692853,685,9171,8123,6051310,52723262574,1
214096,99703820,33012035883,673233,189318840,189991720,563,1976,8636,2215441,26439813307,0
181004,14783317,72245175988,475188,178483395,178957867,536,8411,8870,7473726,79587030740,2
137631,79989425,37232506238,467674,459788888,460254372,828,9744,5677,5149590,53599233809,1
154164,25297391,45485713506,115722,832512169,832624314,209,6058,5488,3280206,11396837751,0
163679,85029902,2785367238,170525,156965030,157132596,456,8392,4035,5490570,21290524632,0
121371,34868297,20590789937,614321,828791859,829405817,135,3876,998,8748569,49526502138,1
175609,61707285,27546466321,642827,769093398,769734716,794,2824,1786,573120,22332527398,0
195882,98340198,58674056101,349144,516054539,516401708,861,9595,9659,5214421,72776015437,1
190854,30924267,18853604141,129854,81133609,81259983,401,8646,6151,4843900,66531212682,1
208269,62138260,5429780679,196079,418901831,419094610,600,4034,7259,5218019,56045951489,0
128303,12475403,20281603401,153224,401313827,401466455,995,7045,2049,6116630,83738672992,1
142779,5696900,49331665991,893506,635921236,636812387,324,7374,9423,5543087,76139578999,1
133292,75602240,43705788543,339307,533642095,533977557,281,3053,949,1294005,23417056205,0
180676,50967845,27030597525,818195,787481658,788298344,257,6704,4800,5514048,28920603699,0
209342,22694196,55356841882,606741,882115777,882721785,44,7075,4884,765460,55994044255,1
128905,57919959,27234542946,423047,100741785,101163620,894,3448,3705,8218983,81947252796,1
124314,42795119,14116162721,229505,451393074,451622090,718,7432,869,398407,52828781079,0
169670,22817249,36028813661,667896,770811201,771478230,42,8899,2985,1801011,10869262351,0
207463,25323554,84514883507,77069,89587130,89663408,762,4491,4965,188067,87693810260,2
206052,63557104,11735009571,117606,850545699,850661310,225,6959,8974,2171529,99120950061,1
135914,98221642,19183617768,85264,815193020,815275300,382,4766,585,976283,45250612611,0
178446,49404412,82120724785,949226,568871443,569820087,667,5638,7648,572885,58759474900,2
156199,41133069,99266771619,928078,535005781,535933447,585,7918,8699,4973317,61640396960,2
158622,53522626,85987198034,60456,192946256,193004717,350,6785,1429,4976163,28476677541,1
135756,29384239,24350904837,732586,248009153,248740786,759,8693,6529,8829212,56784950805,1
199445,55850260,55069040570,706493,671301542,672006672,767,6587,1191,123686,4244849787,0
209898,95710083,85466961513,750815,674281649,675032089,352,9820,8412,6268085,15583760903,1
148304,76316378,89416049928,806718,780516406,781320525,775,3006,7024,7973149,2704010219,1
188779,14022226,33490467548,846061,556917465,557762488,483,6506,2275,77086,56499047264,1
176351,63763181,89793797695,146795,177794660,177938168,562,7047,8106,5201107,55039740314,2
120379,58105093,93271334661,459767,329202768,329661743,781,5177,8853,3505924,30607952558,1
138216,9435804,9356798740,482781,975638582,976119370,421,2572,3902,7319778,27268541110,0
145516,64600776,4989672104,53611,272894542,272946403,714,5551,7552,8311644,1832105745,0
129583,94385099,1581047759,408763,555121862,555530478,581,3219,2986,3659402,56448857766,0
125625,20344213,72478245007,19852,630845413,630863950,191,2579,4351,1883008,1172582249,1
161429,20143568,43624476444,229357,230509205,230735837,264,7857,969,8343491,2372117239,0
139636,14246462,53320463947,851004,436962947,437811495,910,9528,409,5014958,52570918651,1
200383,79073760,26584910640,78210,870501287,870576652,964,9418,1955,3064461,19650697067,0
192481,77589609,81349152618,988121,275816577,276801175,821,6027,2081,974943,51949886309,1
128159,33659437,69637782963,56819,497109808,497165347,378,7023,511,2545352,53191794428,1
169073,36099452,46618235929,923633,276380819,277302626,937,1992,312,7806982,74562896623,1
201349,10055396,70094747648,650941,561662983,562313828,582,5520,2789,1659757,15350550141,1
155374,60718751,1118370182,371570,321944854,322312558,976,3857,3597,9169966,64110724577,0
